experiment,item,version,condition,item_id,item_type,stimulus
1,1,a,afforded,1_afforded,critical,Brad was sitting in his office when an intruder threatened him with a knife. Brad grabbed his laptop computer to use to protect himself. 
1,1,b,nonafforded,1_nonafforded,critical,Brad was sitting in his office when an intruder threatened him with a knife. Brad grabbed his paper napkin to use to protect himself. 
1,1,c,related,1_related,critical,Brad was sitting in his office when an intruder threatened him with a knife. Brad grabbed his hunting rifle to use to protect himself. 
1,2,a,nonafforded,2_nonafforded,critical,"Jenny started her hike in the woods before her friend Adam arrived. She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a nickel that she found in her pocket. "
1,2,b,afforded,2_afforded,critical,"Jenny started her hike in the woods before her friend Adam arrived. She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a pen that she found in her pocket. "
1,2,c,related,2_related,critical,"Jenny started her hike in the woods before her friend Adam arrived. She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a string that she found in her pocket. "
1,3,a,related,3_related,critical,"Art was having guests over for a cocktail party to show off his new furniture. At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of old magazines that his guests could use as coasters. "
1,3,b,afforded,3_afforded,critical,"Art was having guests over for a cocktail party to show off his new furniture. At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of floppy disks that his guests could use as coasters. "
1,3,c,nonafforded,3_nonafforded,critical,"Art was having guests over for a cocktail party to show off his new furniture. At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of old pencils that his guests could use as coasters. "
1,4,a,related,4_related,critical,"Mike was freezing while walking up State Street into a brisk wind. He knew that he had to get his face covered pretty soon or he would get frostbite. Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a ski-mask to cover his face. "
1,4,b,nonafforded,4_nonafforded,critical,"Mike was freezing while walking up State Street into a brisk wind. He knew that he had to get his face covered pretty soon or he would get frostbite. Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a matchbook to cover his face. "
1,4,c,afforded,4_afforded,critical,"Mike was freezing while walking up State Street into a brisk wind. He knew that he had to get his face covered pretty soon or he would get frostbite. Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a newspaper to cover his face. "
1,5,a,nonafforded,5_nonafforded,critical,"David was playing hide and seek with his son, Duncan. David closed his eyes and counted to ten while Duncan hid in the cookie jar. "
1,5,b,afforded,5_afforded,critical,"David was playing hide and seek with his son, Duncan. David closed his eyes and counted to ten while Duncan hid in the clothes dryer. "
1,5,c,related,5_related,critical,"David was playing hide and seek with his son, Duncan. David closed his eyes and counted to ten while Duncan hid in the broom closet. "
1,6,a,afforded,6_afforded,critical,"Bill was working on painting his barn. He reached most of it from the ground, but part of the wall was too high to reach without a ladder. Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a tractor to finish painting the wall. "
1,6,b,related,6_related,critical,"Bill was working on painting his barn. He reached most of it from the ground, but part of the wall was too high to reach without a ladder. Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a chair to finish painting the wall. "
